toxicity,severe_toxicity,sexually_explicit,threat,profanity,identity_attack,any,all
1,1,0,0,1,1,1,4
1,0,0,1,0,0,1,2
1,0,0,0,1,1,1,3
1,1,0,0,1,1,1,4
1,1,0,1,1,0,1,4
1,1,0,1,1,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,1,1,1,5
1,0,0,0,1,1,1,3
1,1,0,0,1,1,1,4
1,0,0,0,0,1,1,2
1,0,0,1,0,1,1,3
1,0,0,0,0,1,1,2
1,0,0,0,1,1,1,3
1,1,0,0,1,1,1,4
1,1,0,1,1,1,1,5
1,1,0,0,1,1,1,4
1,0,0,0,0,1,1,2
1,0,0,0,0,1,1,2
1,0,0,0,1,1,1,3
1,1,0,0,1,1,1,4
1,1,0,1,1,1,1,5
1,0,0,0,0,1,1,2
1,0,0,1,0,0,1,2
1,0,0,0,0,1,1,2
1,0,0,0,0,1,1,2
1,0,0,0,1,1,1,3
0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1
1,0,0,0,0,1,1,2
0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,3
1,0,0,0,0,1,1,2
1,0,0,0,0,1,1,2
1,0,0,0,0,1,1,2
0,0,1,0,0,0,1,1
1,0,0,0,0,1,1,2
1,0,0,0,0,1,1,2
0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,3
1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,2
1,0,0,0,1,1,1,3
1,0,0,0,0,1,1,2
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,3
1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,2
1,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1
1,0,0,1,0,1,1,3
1,0,0,1,0,0,1,2
